ball-bearing;humidity;vibration
93.744;73.999;18
93.74;73.999;18.001
93.736;73.998;18.002
93.732;73.998;18.003
93.729;73.998;18.004
93.725;73.997;18.005
93.721;73.997;18.006
93.717;73.997;18.007
93.713;73.996;18.008
93.709;73.996;18.009
93.705;73.996;18. Jan
93.702;73.995;18.011
93.698;73.995;18.012
93.694;73.995;18.013
93.69;73.994;18.014
93.686;73.994;18.015
93.682;73.994;18.016
93.678;73.993;18.017
93.675;73.993;18.018
93.671;73.993;18.019
93.667;73.992;18. Feb
93.663;73.992;18.021
93.659;73.992;18.022
93.655;73.992;18.023
93.651;73.991;18.024
93.648;73.991;18.025
93.644;73.991;18.026
93.64;73.99;18.027
93.636;73.99;18.028
93.632;73.99;18.029
93.628;73.989;18. Mrz
93.624;73.989;18.031
93.621;73.989;18.032
93.617;73.988;18.033
93.613;73.988;18.034
93.609;73.988;18.035
93.605;73.987;18.036
93.601;73.987;18.037
93.597;73.987;18.038
93.594;73.986;18.039
93.59;73.986;18. Apr
93.586;73.986;18.041
93.582;73.985;18.042
93.578;73.985;18.043
93.574;73.985;18.044
93.57;73.984;18.045
93.567;73.984;18.046
93.563;73.984;18.047
93.559;73.983;18.048
93.555;73.983;18.049
93.551;73.983;18. Mai
93.547;73.982;18.051
93.543;73.982;18.052
93.54;73.982;18.053
93.536;73.981;18.054
93.532;73.981;18.055
93.528;73.981;18.056
93.524;73.98;18.057
93.52;73.98;18.058
93.516;73.98;18.059
93.513;73.979;18. Jun
93.509;73.979;18.061
93.505;73.979;18.062
93.501;73.978;18.063
93.497;73.978;18.064
93.493;73.978;18.065
93.489;73.977;18.066
93.486;73.977;18.067
93.482;73.977;18.068
93.478;73.977;18.069
93.474;73.976;18. Jul
93.47;73.976;18.071
93.466;73.976;18.072
93.462;73.975;18.073
93.459;73.975;18.074
93.455;73.975;18.075
93.451;73.974;18.076
93.447;73.974;18.077
93.443;73.974;18.078
93.439;73.973;18.079
93.435;73.973;18. Aug
93.432;73.973;18.081
93.428;73.972;18.082
93.424;73.972;18.083
93.42;73.972;18.084
93.416;73.971;18.085
93.412;73.971;18.086
93.408;73.971;18.087
93.404;73.97;18.088
93.401;73.97;18.089
93.397;73.97;18. Sep
93.393;73.969;18.091
93.389;73.969;18.092
93.385;73.969;18.093
93.381;73.968;18.094
93.377;73.968;18.095
93.374;73.968;18.096
93.37;73.967;18.097
93.366;73.967;18.098
93.362;73.967;18.099
93.358;73.966;18. Jan
93.354;73.966;18.101
93.35;73.966;18.102
93.347;73.965;18.103
93.343;73.965;18.104
93.339;73.965;18.105
93.335;73.964;18.106
93.331;73.964;18.107
93.327;73.964;18.108
93.323;73.963;18.109
93.32;73.963;18. Nov
93.316;73.963;18.111
93.312;73.962;18.112
93.308;73.962;18.113
93.304;73.962;18.114
93.3;73.962;18.115
93.296;73.961;18.116
93.293;73.961;18.117
93.289;73.961;18.118
93.285;73.96;18.119
93.281;73.96;18. Dez
93.277;73.96;18.121
93.273;73.959;18.122
93.269;73.959;18.123
93.266;73.959;18.124
93.262;73.958;18.125
93.258;73.958;18.126
93.254;73.958;18.127
93.25;73.957;18.128
93.246;73.957;18.129
93.242;73.957;18.13
93.239;73.956;18.131
93.235;73.956;18.132
93.231;73.956;18.133
93.227;73.955;18.134
93.223;73.955;18.135
93.219;73.955;18.136
93.215;73.954;18.137
93.212;73.954;18.138
93.208;73.954;18.139
93.204;73.953;18.14
93.2;73.953;18.141
93.196;73.953;18.142
93.192;73.952;18.143
93.188;73.952;18.144
93.185;73.952;18.145
93.181;73.951;18.146
93.177;73.951;18.147
93.173;73.951;18.148
93.169;73.95;18.149
93.165;73.95;18.15
93.161;73.95;18.151
93.158;73.949;18.152
93.154;73.949;18.153
93.15;73.949;18.154
93.146;73.948;18.155
93.142;73.948;18.156
93.138;73.948;18.157
93.134;73.947;18.158
93.131;73.947;18.159
93.127;73.947;18.16
93.123;73.947;18.161
93.119;73.946;18.162
93.115;73.946;18.163
93.111;73.946;18.164
93.107;73.945;18.165
93.104;73.945;18.166
93.1;73.945;18.167
93.096;73.944;18.168
93.092;73.944;18.169
93.088;73.944;18.17
93.084;73.943;18.171
93.08;73.943;18.172
93.077;73.943;18.173
93.073;73.942;18.174
93.069;73.942;18.175
93.065;73.942;18.176
93.061;73.941;18.177
93.057;73.941;18.178
93.053;73.941;18.179
93.05;73.94;18.18
93.046;73.94;18.181
93.042;73.94;18.182
93.038;73.939;18.183
93.034;73.939;18.184
93.03;73.939;18.185
93.026;73.938;18.186
93.023;73.938;18.187
93.019;73.938;18.188
93.015;73.937;18.189
93.011;73.937;18.19
93.007;73.937;18.191
93.003;73.936;18.192
92.999;73.936;18.193
92.996;73.936;18.194
92.992;73.935;18.195
92.988;73.935;18.196
92.984;73.935;18.197
92.98;73.934;18.198
92.976;73.934;18.199
92.972;73.934;18. Feb
92.969;73.933;18.201
92.965;73.933;18.202
92.961;73.933;18.203
92.957;73.932;18.204
92.953;73.932;18.205
92.949;73.932;18.206
92.945;73.932;18.207
92.942;73.931;18.208
92.938;73.931;18.209
92.934;73.931;18.21
92.93;73.93;18.211
92.926;73.93;18.212
92.922;73.93;18.213
92.918;73.929;18.214
92.915;73.929;18.215
92.911;73.929;18.216
92.907;73.928;18.217
92.903;73.928;18.218
92.899;73.928;18.219
92.895;73.927;18.22
92.891;73.927;18.221
92.888;73.927;18.222
92.884;73.926;18.223
92.88;73.926;18.224
92.876;73.926;18.225
92.872;73.925;18.226
92.868;73.925;18.227
92.864;73.925;18.228
92.861;73.924;18.229
92.857;73.924;18.23
92.853;73.924;18.231
92.849;73.923;18.232
92.845;73.923;18.233
92.841;73.923;18.234
92.837;73.922;18.235
92.834;73.922;18.236
92.83;73.922;18.237
92.826;73.921;18.238
92.822;73.921;18.239
92.818;73.921;18.24
92.814;73.92;18.241
92.81;73.92;18.242
92.807;73.92;18.243
92.803;73.919;18.244
92.799;73.919;18.245
92.795;73.919;18.246
92.791;73.918;18.247
92.787;73.918;18.248
92.783;73.918;18.249
92.779;73.917;18.25
92.776;73.917;18.251
92.772;73.917;18.252
92.768;73.917;18.253
92.764;73.916;18.254
92.76;73.916;18.255
92.756;73.916;18.256
92.752;73.915;18.257
92.749;73.915;18.258
92.745;73.915;18.259
92.741;73.914;18.26
92.737;73.914;18.261
92.733;73.914;18.262
92.729;73.913;18.263
92.725;73.913;18.264
92.722;73.913;18.265
92.718;73.912;18.266
92.714;73.912;18.267
92.71;73.912;18.268
92.706;73.911;18.269
92.702;73.911;18.27
92.698;73.911;18.271
92.695;73.91;18.272
92.691;73.91;18.273
92.687;73.91;18.274
92.683;73.909;18.275
92.679;73.909;18.276
92.675;73.909;18.277
92.671;73.908;18.278
92.668;73.908;18.279
92.664;73.908;18.28
92.66;73.907;18.281
92.656;73.907;18.282
92.652;73.907;18.283
92.648;73.906;18.284
92.644;73.906;18.285
92.641;73.906;18.286
92.637;73.905;18.287
92.633;73.905;18.288
92.629;73.905;18.289
92.625;73.904;18.29
92.621;73.904;18.291
92.617;73.904;18.292
92.614;73.903;18.293
92.61;73.903;18.294
92.606;73.903;18.295
92.602;73.903;18.296
92.598;73.902;18.297
92.594;73.902;18.298
92.59;73.902;18.299
92.587;73.901;18. Mrz
92.583;73.901;18.301
92.579;73.901;18.302
92.575;73.9;18.303
92.571;73.9;18.304
92.567;73.9;18.305
92.563;73.899;18.306
92.56;73.899;18.307
92.556;73.899;18.308
92.552;73.898;18.309
92.548;73.898;18.31
92.544;73.898;18.311
92.54;73.897;18.312
92.536;73.897;18.313
92.533;73.897;18.314
92.529;73.896;18.315
92.525;73.896;18.316
92.521;73.896;18.317
92.517;73.895;18.318
92.513;73.895;18.319
92.509;73.895;18.32
92.506;73.894;18.321
92.502;73.894;18.322
92.498;73.894;18.323
92.494;73.893;18.324
92.49;73.893;18.325
92.486;73.893;18.326
92.482;73.892;18.327
92.479;73.892;18.328
92.475;73.892;18.329
92.471;73.891;18.33
92.467;73.891;18.331
92.463;73.891;18.332
92.459;73.89;18.333
92.455;73.89;18.334
92.452;73.89;18.335
92.448;73.889;18.336
92.444;73.889;18.337
92.44;73.889;18.338
92.436;73.888;18.339
92.432;73.888;18.34
92.428;73.888;18.341
92.425;73.888;18.342
92.421;73.887;18.343
92.417;73.887;18.344
92.413;73.887;18.345
92.409;73.886;18.346
92.405;73.886;18.347
92.401;73.886;18.348
92.398;73.885;18.349
92.394;73.885;18.35
92.39;73.885;18.351
92.386;73.884;18.352
92.382;73.884;18.353
92.378;73.884;18.354
92.374;73.883;18.355
92.371;73.883;18.356
92.367;73.883;18.357
92.363;73.882;18.358
92.359;73.882;18.359
92.355;73.882;18.36
92.351;73.881;18.361
92.347;73.881;18.362
92.344;73.881;18.363
92.34;73.88;18.364
92.336;73.88;18.365
92.332;73.88;18.366
92.328;73.879;18.367
92.324;73.879;18.368
92.32;73.879;18.369
92.317;73.878;18.37
92.313;73.878;18.371
92.309;73.878;18.372
92.305;73.877;18.373
92.301;73.877;18.374
92.297;73.877;18.375
92.293;73.876;18.376
92.29;73.876;18.377
92.286;73.876;18.378
92.282;73.875;18.379
92.278;73.875;18.38
92.274;73.875;18.381
92.27;73.874;18.382
92.266;73.874;18.383
92.263;73.874;18.384
92.259;73.873;18.385
92.255;73.873;18.386
92.251;73.873;18.387
92.247;73.873;18.388
92.243;73.872;18.389
92.239;73.872;18.39
92.236;73.872;18.391
92.232;73.871;18.392
92.228;73.871;18.393
92.224;73.871;18.394
92.22;73.87;18.395
92.216;73.87;18.396
92.212;73.87;18.397
92.209;73.869;18.398
92.205;73.869;18.399
92.201;73.869;18. Apr
92.197;73.868;18.401
92.193;73.868;18.402
92.189;73.868;18.403
92.185;73.867;18.404
92.182;73.867;18.405
92.178;73.867;18.406
92.174;73.866;18.407
92.17;73.866;18.408
92.166;73.866;18.409
92.162;73.865;18.41
92.158;73.865;18.411
92.155;73.865;18.412
92.151;73.864;18.413
92.147;73.864;18.414
92.143;73.864;18.415
92.139;73.863;18.416
92.135;73.863;18.417
92.131;73.863;18.418
92.127;73.862;18.419
92.124;73.862;18.42
92.12;73.862;18.421
92.116;73.861;18.422
92.112;73.861;18.423
92.108;73.861;18.424
92.104;73.86;18.425
92.1;73.86;18.426
92.097;73.86;18.427
92.093;73.859;18.428
92.089;73.859;18.429
92.085;73.859;18.43
92.081;73.858;18.431
92.077;73.858;18.432
92.073;73.858;18.433
92.07;73.858;18.434
92.066;73.857;18.435
92.062;73.857;18.436
92.058;73.857;18.437
92.054;73.856;18.438
92.05;73.856;18.439
92.046;73.856;18.44
92.043;73.855;18.441
92.039;73.855;18.442
92.035;73.855;18.443
92.031;73.854;18.444
92.027;73.854;18.445
92.023;73.854;18.446
92.019;73.853;18.447
92.016;73.853;18.448
92.012;73.853;18.449
92.008;73.852;18.45
92.004;73.852;18.451
92;73.852;18.452
91.996;73.851;18.453
91.992;73.851;18.454
91.989;73.851;18.455
91.985;73.85;18.456
91.981;73.85;18.457
91.977;73.85;18.458
91.973;73.849;18.459
91.969;73.849;18.46
91.965;73.849;18.461
91.962;73.848;18.462
91.958;73.848;18.463
91.954;73.848;18.464
91.95;73.847;18.465
91.946;73.847;18.466
91.942;73.847;18.467
91.938;73.846;18.468
91.935;73.846;18.469
91.931;73.846;18.47
91.927;73.845;18.471
91.923;73.845;18.472
91.919;73.845;18.473
91.915;73.844;18.474
91.911;73.844;18.475
91.908;73.844;18.476
91.904;73.843;18.477
91.9;73.843;18.478
91.896;73.843;18.479
91.892;73.843;18.48
91.888;73.842;18.481
91.884;73.842;18.482
91.881;73.842;18.483
91.877;73.841;18.484
91.873;73.841;18.485
91.869;73.841;18.486
91.865;73.84;18.487
91.861;73.84;18.488
91.857;73.84;18.489
91.854;73.839;18.49
91.85;73.839;18.491
91.846;73.839;18.492
91.842;73.838;18.493
91.838;73.838;18.494
91.834;73.838;18.495
91.83;73.837;18.496
91.827;73.837;18.497
91.823;73.837;18.498
91.819;73.836;18.499
91.815;73.836;18. Mai
91.811;73.836;18.501
91.807;73.835;18.502
91.803;73.835;18.503
91.8;73.835;18.504
91.796;73.834;18.505
91.792;73.834;18.506
91.788;73.834;18.507
91.784;73.833;18.508
91.78;73.833;18.509
91.776;73.833;18.51
91.773;73.832;18.511
91.769;73.832;18.512
91.765;73.832;18.513
91.761;73.831;18.514
91.757;73.831;18.515
91.753;73.831;18.516
91.749;73.83;18.517
91.746;73.83;18.518
91.742;73.83;18.519
91.738;73.83;18.52
91.734;73.829;18.521
91.73;73.829;18.522
91.726;73.829;18.523
91.722;73.828;18.524
91.718;73.828;18.525
91.715;73.828;18.526
91.711;73.827;18.527
91.707;73.827;18.528
91.703;73.827;18.529
91.699;73.826;18.53
91.695;73.826;18.531
91.691;73.826;18.532
91.688;73.825;18.533
91.684;73.825;18.534
91.68;73.825;18.535
91.676;73.824;18.536
91.672;73.824;18.537
91.668;73.824;18.538
91.664;73.823;18.539
91.661;73.823;18.54
91.657;73.823;18.541
91.653;73.822;18.542
91.649;73.822;18.543
91.645;73.822;18.544
91.641;73.821;18.545
91.637;73.821;18.546
91.634;73.821;18.547
91.63;73.82;18.548
